Overall rank,Year,Country,Region,Score,GDP_per_capita,Social_Support,Life_expectancy,Freedom_to_choices,Generosity
142,2017,Botswana,Sub-Saharan Africa,3.766,1.122,1.222,0.342,0.505,0.099
143,2019,Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.169
143,2015,Gabon,Sub-Saharan Africa,3.896,1.06,0.905,0.434,0.319,0.068
143,2018,Madagascar,Sub-Saharan Africa,3.774,0.262,0.908,0.402,0.221,0.155
143,2017,Benin,Sub-Saharan Africa,3.657,0.431,0.435,0.21,0.426,0.208
144,2015,Niger,Sub-Saharan Africa,3.845,0.069,0.773,0.297,0.477,0.194
144,2019,Lesotho,Sub-Saharan Africa,3.802,0.489,1.169,0.168,0.359,0.107
144,2016,Chad,Sub-Saharan Africa,3.763,0.422,0.632,0.038,0.128,0.187
144,2018,Zimbabwe,Sub-Saharan Africa,3.692,0.357,1.094,0.248,0.406,0.132
144,2017,Madagascar,Sub-Saharan Africa,3.644,0.306,0.913,0.375,0.189,0.209
145,2019,Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.176
145,2016,Burkina Faso,Sub-Saharan Africa,3.739,0.32,0.631,0.213,0.334,0.244
145,2016,Uganda,Sub-Saharan Africa,3.739,0.347,0.91,0.196,0.437,0.271
146,2015,Tanzania,Sub-Saharan Africa,3.781,0.285,1.003,0.382,0.329,0.344
146,2019,Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.151
146,2018,Botswana,Sub-Saharan Africa,3.59,1.017,1.174,0.417,0.557,0.042
147,2015,Madagascar,Sub-Saharan Africa,3.681,0.208,0.668,0.467,0.192,0.213
147,2018,Malawi,Sub-Saharan Africa,3.587,0.186,0.541,0.306,0.531,0.21
148,2016,Madagascar,Sub-Saharan Africa,3.695,0.28,0.461,0.371,0.137,0.22
148,2015,Central African Republic,Sub-Saharan Africa,3.678,0.079,0,0.067,0.489,0.238
148,2017,Liberia,Sub-Saharan Africa,3.533,0.119,0.872,0.23,0.333,0.267
148,2019,Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.025
149,2015,Chad,Sub-Saharan Africa,3.667,0.342,0.761,0.15,0.235,0.184
149,2016,Tanzania,Sub-Saharan Africa,3.666,0.472,0.776,0.357,0.318,0.315
149,2017,Guinea,Sub-Saharan Africa,3.507,0.245,0.791,0.194,0.349,0.265
149,2018,Liberia,Sub-Saharan Africa,3.495,0.076,0.858,0.267,0.419,0.206
150,2015,Guinea,Sub-Saharan Africa,3.656,0.174,0.465,0.24,0.377,0.287
150,2016,Liberia,Sub-Saharan Africa,3.622,0.107,0.504,0.232,0.257,0.241
150,2017,Togo,Sub-Saharan Africa,3.495,0.305,0.432,0.247,0.38,0.197
150,2019,Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.218
151,2015,Ivory Coast,Sub-Saharan Africa,3.655,0.465,0.771,0.152,0.469,0.202
151,2016,Guinea,Sub-Saharan Africa,3.607,0.224,0.311,0.188,0.31,0.299
151,2017,Rwanda,Sub-Saharan Africa,3.471,0.369,0.946,0.326,0.582,0.253
151,2018,Rwanda,Sub-Saharan Africa,3.408,0.332,0.896,0.4,0.636,0.2
152,2015,Burkina Faso,Sub-Saharan Africa,3.587,0.258,0.852,0.271,0.395,0.217
152,2016,Rwanda,Sub-Saharan Africa,3.515,0.328,0.616,0.319,0.543,0.236
152,2019,Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.217
153,2016,Benin,Sub-Saharan Africa,3.484,0.395,0.104,0.21,0.397,0.202
153,2017,Tanzania,Sub-Saharan Africa,3.349,0.511,1.042,0.365,0.39,0.354
153,2018,Tanzania,Sub-Saharan Africa,3.303,0.455,0.991,0.381,0.481,0.27
153,2019,Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.276
154,2015,Rwanda,Sub-Saharan Africa,3.465,0.222,0.774,0.429,0.592,0.226
154,2017,Burundi,Sub-Saharan Africa,2.905,0.092,0.63,0.152,0.06,0.204
155,2015,Benin,Sub-Saharan Africa,3.34,0.287,0.354,0.319,0.485,0.183
155,2016,Togo,Sub-Saharan Africa,3.303,0.281,0,0.248,0.347,0.175
155,2019,Central African Republic,Sub-Saharan Africa,3.083,0.026,0,0.105,0.225,0.235
155,2018,Central African Republic,Sub-Saharan Africa,3.083,0.024,0,0.01,0.305,0.218
155,2017,Central African Republic,Sub-Saharan Africa,2.693,0,0,0.019,0.271,0.281
156,2018,Burundi,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.149
157,2015,Burundi,Sub-Saharan Africa,2.905,0.015,0.416,0.224,0.119,0.197
157,2016,Burundi,Sub-Saharan Africa,2.905,0.068,0.234,0.157,0.043,0.203
158,2015,Togo,Sub-Saharan Africa,2.839,0.209,0.14,0.284,0.365,0.167
1,2019,Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153
1,2018,Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.192
1,2015,Switzerland,Western Europe,7.587,1.397,1.35,0.941,0.666,0.297
1,2017,Norway,Western Europe,7.537,1.616,1.534,0.797,0.635,0.362
1,2016,Denmark,Western Europe,7.526,1.442,1.164,0.795,0.579,0.362
2,2019,Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252
2,2018,Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286
2,2015,Iceland,Western Europe,7.561,1.302,1.402,0.948,0.629,0.436
2,2017,Denmark,Western Europe,7.522,1.482,1.551,0.793,0.626,0.355
2,2016,Switzerland,Western Europe,7.509,1.527,1.145,0.863,0.586,0.281
3,2018,Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284
3,2019,Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271
3,2015,Denmark,Western Europe,7.527,1.325,1.361,0.875,0.649,0.341
3,2017,Iceland,Western Europe,7.504,1.481,1.611,0.834,0.627,0.476
3,2016,Iceland,Western Europe,7.501,1.427,1.183,0.867,0.566,0.477
4,2015,Norway,Western Europe,7.522,1.459,1.331,0.885,0.67,0.347
4,2016,Norway,Western Europe,7.498,1.577,1.127,0.796,0.596,0.379
4,2018,Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353
4,2019,Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354
4,2017,Switzerland,Western Europe,7.494,1.565,1.517,0.858,0.62,0.291
5,2019,Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322
5,2018,Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256
5,2017,Finland,Western Europe,7.469,1.444,1.54,0.809,0.618,0.245
5,2016,Finland,Western Europe,7.413,1.406,1.135,0.811,0.571,0.255
6,2019,Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263
6,2018,Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333
6,2015,Finland,Western Europe,7.406,1.29,1.318,0.889,0.642,0.234
6,2017,Netherlands,Western Europe,7.377,1.504,1.429,0.811,0.585,0.47
7,2015,Netherlands,Western Europe,7.378,1.329,1.28,0.893,0.616,0.476
7,2019,Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267
7,2016,Netherlands,Western Europe,7.339,1.465,1.029,0.812,0.552,0.474
8,2015,Sweden,Western Europe,7.364,1.332,1.289,0.911,0.66,0.363
9,2018,Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285
9,2017,Sweden,Western Europe,7.284,1.494,1.478,0.831,0.613,0.385
10,2016,Sweden,Western Europe,7.291,1.452,1.088,0.831,0.582,0.383
10,2019,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244
12,2018,Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.242
12,2016,Austria,Western Europe,7.119,1.45,1.084,0.806,0.544,0.329
13,2015,Austria,Western Europe,7.2,1.337,1.297,0.89,0.624,0.331
13,2017,Austria,Western Europe,7.006,1.487,1.46,0.815,0.568,0.316
14,2019,Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194
14,2018,Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.307
15,2019,United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348
15,2017,Ireland,Western Europe,6.977,1.536,1.558,0.81,0.573,0.428
15,2018,Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.273
16,2019,Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298
16,2016,Germany,Western Europe,6.994,1.448,1.098,0.815,0.535,0.305
16,2017,Germany,Western Europe,6.951,1.488,1.473,0.799,0.563,0.336
16,2018,Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.188
17,2019,Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261
17,2015,Luxembourg,Western Europe,6.946,1.564,1.22,0.919,0.616,0.28
17,2018,Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.196
17,2017,Belgium,Western Europe,6.891,1.464,1.462,0.818,0.54,0.232
18,2015,Ireland,Western Europe,6.94,1.336,1.369,0.895,0.618,0.459
18,2016,Belgium,Western Europe,6.929,1.425,1.052,0.82,0.514,0.242
18,2019,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16
18,2017,Luxembourg,Western Europe,6.863,1.742,1.458,0.845,0.597,0.283
19,2015,Belgium,Western Europe,6.937,1.308,1.286,0.897,0.585,0.223
19,2016,Ireland,Western Europe,6.907,1.483,1.162,0.815,0.54,0.45
19,2018,United Kingdom,Western Europe,6.814,1.301,1.559,0.883,0.533,0.354
19,2017,United Kingdom,Western Europe,6.714,1.442,1.496,0.805,0.508,0.493
20,2016,Luxembourg,Western Europe,6.871,1.698,1.04,0.845,0.549,0.276
21,2015,United Kingdom,Western Europe,6.867,1.266,1.285,0.909,0.596,0.519
22,2019,Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375
22,2018,Malta,Western Europe,6.627,1.27,1.525,0.884,0.645,0.376
23,2016,United Kingdom,Western Europe,6.725,1.403,1.087,0.81,0.5,0.502
23,2018,France,Western Europe,6.489,1.293,1.466,0.908,0.52,0.098
24,2019,France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111
26,2015,Germany,Western Europe,6.75,1.328,1.299,0.892,0.615,0.282
27,2017,Malta,Western Europe,6.527,1.343,1.488,0.822,0.589,0.575
29,2015,France,Western Europe,6.575,1.278,1.26,0.946,0.55,0.123
30,2016,Malta,Western Europe,6.488,1.308,1.099,0.803,0.55,0.562
30,2019,Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153
31,2017,France,Western Europe,6.442,1.431,1.388,0.844,0.47,0.13
32,2016,France,Western Europe,6.478,1.395,1.005,0.838,0.466,0.122
34,2017,Spain,Western Europe,6.403,1.384,1.532,0.889,0.409,0.19
36,2015,Spain,Western Europe,6.329,1.23,1.314,0.956,0.46,0.182
36,2018,Spain,Western Europe,6.31,1.251,1.538,0.965,0.449,0.142
36,2019,Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158
37,2016,Spain,Western Europe,6.361,1.343,1.129,0.879,0.375,0.177
37,2015,Malta,Western Europe,6.302,1.207,1.302,0.887,0.604,0.518
47,2018,Italy,Western Europe,6,1.264,1.501,0.946,0.281,0.137
48,2017,Italy,Western Europe,5.964,1.395,1.445,0.853,0.256,0.173
49,2019,Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.19
50,2016,Italy,Western Europe,5.977,1.355,1.042,0.851,0.188,0.167
50,2015,Italy,Western Europe,5.948,1.251,1.198,0.954,0.262,0.228
61,2017,North Cyprus,Western Europe,5.81,1.347,1.186,0.835,0.471,0.267
61,2018,Cyprus,Western Europe,5.762,1.229,1.191,0.909,0.423,0.202
62,2016,North Cyprus,Western Europe,5.771,1.311,0.818,0.841,0.436,0.263
65,2017,Cyprus,Western Europe,5.621,1.356,1.131,0.845,0.355,0.271
66,2015,North Cyprus,Western Europe,5.695,1.208,1.07,0.924,0.49,0.262
66,2019,Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.047
67,2015,Cyprus,Western Europe,5.689,1.208,0.893,0.924,0.407,0.306
69,2016,Cyprus,Western Europe,5.546,1.319,0.707,0.849,0.295,0.279
77,2018,Portugal,Western Europe,5.41,1.188,1.429,0.884,0.562,0.055
79,2018,Greece,Western Europe,5.358,1.154,1.202,0.879,0.131,0
82,2019,Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0
87,2017,Greece,Western Europe,5.227,1.289,1.239,0.81,0.096,0
88,2015,Portugal,Western Europe,5.102,1.16,1.139,0.875,0.515,0.137
89,2017,Portugal,Western Europe,5.195,1.315,1.367,0.796,0.498,0.095
94,2016,Portugal,Western Europe,5.123,1.276,0.944,0.794,0.447,0.117
99,2016,Greece,Western Europe,5.033,1.249,0.755,0.8,0.058,0
102,2015,Greece,Western Europe,4.857,1.154,0.929,0.882,0.077,0
